date,open,high,low,close,volume
2024-01-02,100.0,101.8,99.3,100.9,1000000
2024-01-03,101.03,102.75,100.29,101.87,1010076
2024-01-04,102.01,103.72,101.24,102.89,1020009
2024-01-05,102.91,104.72,102.11,103.96,1029663
2024-01-08,103.85,105.74,103.03,105.05,1038912
2024-01-09,104.91,106.78,104.09,106.15,1047646
2024-01-10,106.11,107.83,105.3,107.23,1055776
2024-01-11,107.33,108.89,106.54,108.28,1063238
2024-01-12,108.43,109.92,107.68,109.27,1069992
2024-01-15,109.33,110.92,108.61,110.2,1076029
2024-01-16,110.12,111.85,109.44,111.06,1081367
2024-01-17,110.91,112.72,110.27,111.86,1086052
2024-01-18,111.78,113.5,111.17,112.61,1090158
2024-01-19,112.67,114.22,112.08,113.32,1093779
2024-01-22,113.47,114.88,112.89,114.02,1097029
2024-01-23,114.12,115.53,113.54,114.73,1100040
2024-01-24,114.69,116.2,114.09,115.47,1102949
2024-01-25,115.33,116.91,114.7,116.25,1105900
2024-01-26,116.14,117.71,115.47,117.1,1109034
2024-01-29,117.12,118.61,116.41,118.01,1112486
2024-01-30,118.15,118.77,116.19,116.93,1116377
2024-01-31,117.06,117.74,115.02,115.8,1120811
2024-02-01,115.8,116.55,113.8,114.6,1125871
2024-02-02,114.47,115.29,112.51,113.33,1131613
2024-02-05,113.19,114.07,111.18,112.0,1138069
2024-02-06,111.98,112.88,109.84,110.65,1145239
2024-02-07,110.76,111.65,108.54,109.32,1153097
2024-02-08,109.46,110.3,107.28,108.03,1161590
2024-02-09,108.07,108.84,106.1,106.81,1170637
2024-02-12,106.71,107.41,104.99,105.66,1180137
2024-02-13,105.51,106.15,103.94,104.57,1189970
2024-02-14,104.51,105.11,102.91,103.52,1200004
2024-02-15,103.6,104.21,101.88,102.47,1210097
2024-02-16,102.62,103.26,100.79,101.37,1220107
2024-02-19,101.45,102.16,99.62,100.21,1229894
2024-02-20,100.15,102.15,99.54,101.37,1239325
2024-02-21,101.22,103.32,100.58,102.47,1248286
2024-02-22,102.37,104.4,101.7,103.51,1256676
2024-02-23,103.55,105.4,102.84,104.5,1264422
2024-02-26,104.64,106.29,103.89,105.42,1271473
2024-02-27,105.53,107.09,104.75,106.28,1277808
2024-02-28,106.26,107.84,105.45,107.1,1283433
2024-02-29,106.96,108.55,106.14,107.88,1288382
2024-03-01,107.76,109.25,106.94,108.63,1292719
2024-03-04,108.63,109.98,107.83,109.38,1296528
2024-03-05,109.51,110.76,108.73,110.14,1299918
2024-03-06,110.28,111.59,109.54,110.92,1303012
2024-03-07,110.94,112.48,110.24,111.74,1305945
2024-03-08,111.62,113.42,110.95,112.61,1308862
2024-03-11,112.47,114.4,111.84,113.53,1311903
2024-03-12,113.49,115.41,112.89,114.51,1315207
2024-03-13,114.61,116.45,114.03,115.56,1318902
2024-03-14,115.71,117.51,115.13,116.66,1323099
2024-03-15,116.72,118.6,116.13,117.82,1327890
2024-03-18,117.74,119.73,117.13,119.02,1333343
2024-03-19,118.87,119.51,117.51,118.15,1339500
2024-03-20,118.07,118.68,116.64,117.32,1346374
2024-03-21,117.39,117.99,115.83,116.55,1353952
2024-03-22,116.7,117.34,115.05,115.81,1362189
2024-03-25,115.91,116.61,114.32,115.11,1371016
2024-03-26,115.06,115.83,113.6,114.41,1380341
2024-03-27,114.27,115.11,112.87,113.69,1390051
2024-03-28,113.58,114.47,112.11,112.93,1400019
2024-03-29,112.96,113.86,111.32,112.12,1410105
2024-04-01,112.26,113.14,110.49,111.26,1420167
2024-04-02,111.38,112.2,109.63,110.37,1430063
2024-04-03,110.37,111.12,108.77,109.47,1439657
2024-04-04,109.34,110.02,107.93,108.59,1448826
2024-04-05,108.46,110.2,107.84,109.58,1457464
2024-04-08,109.56,111.22,108.96,110.62,1465486
2024-04-09,110.74,112.34,110.16,111.73,1472830
2024-04-10,111.87,113.56,111.29,112.9,1479464
2024-04-11,112.94,114.86,112.35,114.13,1485381
2024-04-12,114.03,116.22,113.42,115.42,1490606
2024-04-15,115.27,117.61,114.62,116.75,1495188
2024-04-16,116.69,119.0,116.01,118.1,1499205
2024-04-17,118.18,120.34,117.46,119.45,1502755
2024-04-18,119.6,121.62,118.84,120.77,1505956
2024-04-19,120.85,122.84,120.06,122.05,1508939
2024-04-22,121.98,123.99,121.17,123.27,1511845
